"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/04/2024","1,43","1,36","-6,21","1,34","1,45","143,34M"
"29/04/2024","1,43","1,45","1,40","1,40","1,50","147,58M"
"26/04/2024","1,41","1,43","2,88","1,40","1,44","120,82M"
"25/04/2024","1,40","1,39","-2,80","1,36","1,40","136,26M"
"24/04/2024","1,43","1,43","-0,69","1,36","1,44","190,49M"
"23/04/2024","1,52","1,44","-5,88","1,42","1,53","198,27M"
"22/04/2024","1,54","1,53","-0,65","1,50","1,56","169,81M"
"19/04/2024","1,50","1,54","2,67","1,49","1,60","187,85M"
"18/04/2024","1,52","1,50","-1,32","1,50","1,56","146,75M"
"17/04/2024","1,56","1,52","0,00","1,49","1,58","192,52M"
"16/04/2024","1,49","1,52","-0,65","1,45","1,57","359,09M"
"15/04/2024","1,66","1,53","-7,83","1,52","1,66","285,77M"
"12/04/2024","1,73","1,66","-4,05","1,65","1,73","147,40M"
"11/04/2024","1,76","1,73","-2,26","1,71","1,80","168,46M"
"10/04/2024","1,78","1,77","-2,75","1,74","1,80","152,70M"
"09/04/2024","1,79","1,82","2,25","1,76","1,83","122,75M"
"08/04/2024","1,71","1,78","4,09","1,71","1,82","179,11M"
"05/04/2024","1,76","1,71","-3,39","1,69","1,77","158,10M"
"04/04/2024","1,71","1,77","4,73","1,70","1,84","539,88M"
"03/04/2024","1,73","1,69","-2,87","1,64","1,74","269,41M"
"02/04/2024","1,77","1,74","-2,25","1,72","1,78","195,56M"
"01/04/2024","1,81","1,78","-1,11","1,76","1,83","83,71M"
"28/03/2024","1,81","1,80","-1,10","1,79","1,85","188,95M"
"27/03/2024","1,78","1,82","2,25","1,72","1,83","251,04M"
"26/03/2024","1,90","1,78","-6,81","1,78","1,91","556,13M"
"25/03/2024","1,92","1,91","-0,52","1,85","1,94","291,63M"
"22/03/2024","1,96","1,92","-3,52","1,81","1,97","403,66M"
"21/03/2024","2,04","1,99","-2,93","1,96","2,05","251,25M"
"20/03/2024","2,00","2,05","4,06","1,95","2,08","418,81M"
"19/03/2024","2,16","1,97","-6,19","1,95","2,20","778,10M"
"18/03/2024","1,99","2,10","7,14","1,98","2,11","404,86M"
"15/03/2024","2,02","1,96","-2,49","1,94","2,02","395,98M"
"14/03/2024","2,05","2,01","-0,99","1,99","2,07","311,31M"
"13/03/2024","2,02","2,03","0,50","1,99","2,08","315,62M"
