"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/04/2024","40,26","40,28","-0,31","39,89","40,46","1,47B"
"29/04/2024","39,76","40,40","1,79","39,61","40,40","1,11B"
"26/04/2024","39,58","39,69","0,78","39,37","40,05","1,26B"
"25/04/2024","38,62","39,39","2,40","38,32","39,63","2,57B"
"24/04/2024","38,76","38,46","-0,46","38,44","39,17","1,74B"
"23/04/2024","38,62","38,64","-0,19","38,21","38,83","1,36B"
"22/04/2024","38,02","38,71","2,39","37,80","38,80","1,98B"
"19/04/2024","37,36","37,81","1,71","37,17","38,31","3,05B"
"18/04/2024","37,31","37,17","0,18","36,99","37,86","1,68B"
"17/04/2024","36,84","37,11","0,73","36,70","37,27","1,44B"
"16/04/2024","36,39","36,84","0,46","36,33","37,04","1,36B"
"15/04/2024","36,33","36,67","0,95","36,04","36,80","1,04B"
"12/04/2024","37,05","36,33","-0,92","36,10","37,36","1,45B"
"11/04/2024","36,94","36,66","-0,73","36,57","37,09","1,21B"
"10/04/2024","36,13","36,93","2,22","36,06","37,06","2,05B"
"09/04/2024","36,29","36,13","0,26","35,50","36,51","1,32B"
"08/04/2024","35,48","36,04","1,39","35,20","36,44","1,30B"
"05/04/2024","35,36","35,54","0,58","34,67","35,98","2,31B"
"04/04/2024","35,89","35,34","-1,41","34,92","36,83","6,92B"
"03/04/2024","36,10","35,84","-0,52","35,65","36,39","1,13B"
"02/04/2024","35,28","36,03","2,58","35,26","36,05","2,33B"
"01/04/2024","34,98","35,12","0,78","34,71","35,18","822,54M"
"28/03/2024","34,05","34,85","2,22","34,02","35,00","1,10B"
"27/03/2024","33,84","34,10","0,80","33,69","34,20","654,28M"
"26/03/2024","34,21","33,83","-0,93","33,74","34,21","1,75B"
"25/03/2024","33,75","34,14","1,53","33,73","34,36","912,99M"
"22/03/2024","33,49","33,63","0,98","33,05","33,79","1,15B"
"21/03/2024","34,38","33,30","-2,72","33,28","34,57","1,58B"
"20/03/2024","33,80","34,24","1,75","33,41","34,27","1,31B"
